Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MIR106B","MicroRNA 106b","RNA Gene","","30","GC07M106713","21.6186580657959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"MIR320A","MicroRNA 320a","RNA Gene","","31","GC08M022455","21.462532043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","60","GC01P075179","21.4312191009521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","21.3628253936768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"LOC106694315","MPO Proximal Enhancer And Promoter Region","Functional Element","","10","GC17P058279","21.2324638366699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106694315"
"MIR128-1","MicroRNA 128-1","RNA Gene","","27","GC02P135665","21.1969203948975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR128-1"
"ACHE","Acetylcholinesterase (Yt Blood Group)","Protein Coding","P22303","61","GC07M100889","21.1430053710938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE"
"LMNB1","Lamin B1","Protein Coding","P20700","59","GC05P126776","20.9102821350098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNB1"
"MIR22","MicroRNA 22","RNA Gene","","31","GC17M001713","20.8920745849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"MIRLET7I","MicroRNA Let-7i","RNA Gene","","30","GC12P075610","20.6556205749512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7I"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","Q07954","61","GC12P057128","20.5549125671387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"MIR93","MicroRNA 93","RNA Gene","","30","GC07M106714","20.542947769165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR93"
"MIR181C","MicroRNA 181c","RNA Gene","","28","GC19P151979","20.4995784759521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"TBK1","TANK Binding Kinase 1","Protein Coding","Q9UHD2","62","GC12P075684","20.4303207397461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"MIR29A","MicroRNA 29a","RNA Gene","","31","GC07M130876","20.3287963867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"MIR210","MicroRNA 210","RNA Gene","","30","GC11M015053","20.2764625549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"CACNA1G","Calcium Voltage-Gated Channel Subunit Alpha1 G","Protein Coding","O43497","62","GC17P155147","20.2310695648193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1G"
"GATA1","GATA Binding Protein 1","Protein Coding","P15976","59","GC0XP048786","19.997013092041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1"
"CHCHD10","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 10","Protein Coding","Q8WYQ3","52","GC22M023765","19.8155269622803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHCHD10"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","P49841","64","GC03M119821","19.7158088684082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"BACE1-AS","BACE1 Antisense RNA","RNA Gene","","22","GC11P117548","19.6466445922852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1-AS"
"ARSA","Arylsulfatase A","Protein Coding","P15289","60","GC22M050622","19.6055297851563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSA"
"SIGMAR1","Sigma Non-Opioid Intracellular Receptor 1","Protein Coding","Q99720","59","GC09M034634","19.3583240509033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1"
"CLU","Clusterin","Protein Coding","P10909","60","GC08M027596","19.3308429718018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU"
"NOTCH3","Notch Receptor 3","Protein Coding","Q9UM47","64","GC19M015159","19.2072887420654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH3"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M167453","19.17848777771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"MIR34A","MicroRNA 34a","RNA Gene","","31","GC01M009151","19.0013618469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","P35670","61","GC13M051930","18.6831455230713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"SORL1-AS1","SORL1 Antisense RNA 1","RNA Gene","","20","GC11M140699","18.5064353942871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1-AS1"
"VPS35","VPS35 Retromer Complex Component","Protein Coding","Q96QK1","55","GC16M051451","18.2358875274658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS35"
"MIR15A","MicroRNA 15a","RNA Gene","","25","GC13M050049","18.2162227630615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"TYROBP","Transmembrane Immune Signaling Adaptor TYROBP","Protein Coding","O43914","55","GC19M035904","18.1680145263672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYROBP"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","18.0485687255859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","Q00535","66","GC07M151053","18.0247459411621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5"
"CDKN2B-AS1","CDKN2B And CDKN2A Antisense Cis And Trans Regulatory RNA 1","RNA Gene","","32","GC09P021994","18.0180892944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","61","GC15M163223","17.976541519165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"PSAP","Prosaposin","Protein Coding","P07602","61","GC10M071816","17.9393272399902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSAP"
"CHAT","Choline O-Acetyltransferase","Protein Coding","P28329","61","GC10P049609","17.9173240661621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","17.8608627319336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"HTRA2","HtrA Serine Peptidase 2","Protein Coding","O43464","59","GC02P074529","17.8592681884766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA2"
"UBQLN2","Ubiquilin 2","Protein Coding","Q9UHD9","54","GC0XP056563","17.8225746154785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN2"
"BCHE","Butyrylcholinesterase","Protein Coding","P06276","62","GC03M165772","17.7367324829102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCHE"
"LOC106627981","GBA Recombination Region","Functional Element","","11","GC01P155233","17.6727504730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106627981"
"LINC01080","Long Intergenic Non-Protein Coding RNA 1080","RNA Gene","","21","GC13P079873","17.5972709655762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01080"
"FBXO7","F-Box Protein 7","Protein Coding","Q9Y3I1","55","GC22P032474","17.5608234405518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO7"
"NPC2","NPC Intracellular Cholesterol Transporter 2","Protein Coding","P61916","56","GC14M074476","17.5521354675293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC2"
"DNAJC6","DnaJ Heat Shock Protein Family (Hsp40) Member C6","Protein Coding","O75061","55","GC01P065248","17.5442409515381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC6"
"MIAT","Myocardial Infarction Associated Transcript","RNA Gene","","34","GC22P026646","17.2986354827881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIAT"
"DCTN1","Dynactin Subunit 1","Protein Coding","Q14203","60","GC02M074361","17.2891044616699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN1"
"ATP1A3","ATPase Na+/K+ Transporting Subunit Alpha 3","Protein Coding","P13637","61","GC19M041966","17.2378940582275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A3"
"ATP13A2","ATPase Cation Transporting 13A2","Protein Coding","Q9NQ11","57","GC01M016985","17.2086334228516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP13A2"
"LINC01616","Long Intergenic Non-Protein Coding RNA 1616","RNA Gene","","17","GC11M029980","17.1086769104004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01616"
"PRKRA","Protein Activator Of Interferon Induced Protein Kinase EIF2AK2","Protein Coding","O75569","54","GC02M178431","17.1077270507813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKRA"
"EIF4G1","Eukaryotic Translation Initiation Factor 4 Gamma 1","Protein Coding","Q04637","60","GC03P184314","17.0760517120361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4G1"
"APBB2","Amyloid Beta Precursor Protein Binding Family B Member 2","Protein Coding","Q92870","51","GC04M040812","17.0737037658691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB2"
"MIR511","MicroRNA 511","RNA Gene","","25","GC10P017845","17.0694141387939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR511"
"SERPINA3","Serpin Family A Member 3","Protein Coding","P01011","56","GC14P094612","16.9904766082764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3"
"MIR197","MicroRNA 197","RNA Gene","","28","GC01P109598","16.9719276428223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197"
"UBE3A","Ubiquitin Protein Ligase E3A","Protein Coding","Q05086","61","GC15M025333","16.9700393676758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3A"
"ABCD1","ATP Binding Cassette Subfamily D Member 1","Protein Coding","P33897","59","GC0XP153724","16.8695507049561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD1"
"MIR328","MicroRNA 328","RNA Gene","","29","GC16M067836","16.8632507324219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR328"
"GALC","Galactosylceramidase","Protein Coding","P54803","58","GC14M087837","16.8257293701172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALC"
"PLD3","Phospholipase D Family Member 3","Protein Coding","Q8IV08","54","GC19P040348","16.7474479675293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD3"
"CTSD","Cathepsin D","Protein Coding","P07339","65","GC11M001752","16.7006015777588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD"
"CYP27A1","Cytochrome P450 Family 27 Subfamily A Member 1","Protein Coding","Q02318","60","GC02P218781","16.6678485870361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1"
"MIR363","MicroRNA 363","RNA Gene","","24","GC0XM135405","16.5697727203369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR363"
"PPT1","Palmitoyl-Protein Thioesterase 1","Protein Coding","P50897","60","GC01M040273","16.5612850189209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPT1"
"SPG11","SPG11 Vesicle Trafficking Associated, Spatacsin","Protein Coding","Q96JI7","52","GC15M048180","16.5064945220947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPG11"
"RNF216","Ring Finger Protein 216","Protein Coding","Q9NWF9","55","GC07M005620","16.4666366577148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF216"
"LINC01772","Long Intergenic Non-Protein Coding RNA 1772","RNA Gene","","23","GC01P075741","16.4295635223389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01772"
"IDE","Insulin Degrading Enzyme","Protein Coding","P14735","61","GC10M092451","16.3848438262939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE"
"THAP1","THAP Domain Containing 1","Protein Coding","Q9NVV9","50","GC08M042836","16.3624954223633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THAP1"
"LRP1-AS","LRP1 Antisense RNA","RNA Gene","","22","GC12M060452","16.3497219085693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1-AS"
"MIR298","MicroRNA 298","RNA Gene","","22","GC20M058818","16.3104591369629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR298"
"HAR1B","Highly Accelerated Region 1B","RNA Gene","","25","GC20M063095","16.2617874145508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAR1B"
"GCH1","GTP Cyclohydrolase 1","Protein Coding","P30793","60","GC14M054842","16.2600002288818","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCH1"
"UNC5C","Unc-5 Netrin Receptor C","Protein Coding","O95185","52","GC04M095162","16.1762924194336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC5C"
"PNKD","PNKD Metallo-Beta-Lactamase Domain Containing","Protein Coding","Q8N490","54","GC02P218270","16.1454448699951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNKD"
"HAR1A","Highly Accelerated Region 1A","RNA Gene","","27","GC20P063101","16.0501461029053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAR1A"
"PANK2","Pantothenate Kinase 2","Protein Coding","Q9BZ23","58","GC20P010991","16.0443935394287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"SOX2-OT","SOX2 Overlapping Transcript","RNA Gene","","32","GC03P180989","15.9674692153931","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2-OT"
"TOR1A","Torsin Family 1 Member A","Protein Coding","O14656","59","GC09M129812","15.9145393371582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR1A"
"SPR","Sepiapterin Reductase","Protein Coding","P35270","62","GC02P072887","15.864333152771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPR"
"SNHG3","Small Nucleolar RNA Host Gene 3","RNA Gene","","30","GC01P076549","15.8336162567139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG3"
"PRRT2","Proline Rich Transmembrane Protein 2","Protein Coding","Q7Z6L0","52","GC16P029811","15.8251285552979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRRT2"
"GLA","Galactosidase Alpha","Protein Coding","P06280","62","GC0XM101393","15.8198909759521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA"
"HEXA","Hexosaminidase Subunit Alpha","Protein Coding","P06865","60","GC15M072340","15.7304801940918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXA"
"SGCE","Sarcoglycan Epsilon","Protein Coding","O43556","55","GC07M094524","15.7304801940918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGCE"
"APBB1","Amyloid Beta Precursor Protein Binding Family B Member 1","Protein Coding","O00213","56","GC11M015300","15.4825019836426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB1"
"SLC25A24","Solute Carrier Family 25 Member 24","Protein Coding","Q6NUK1","54","GC01M108134","15.4177360534668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A24"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","15.3631734848022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"LPO","Lactoperoxidase","Protein Coding","P22079","54","GC17P058218","15.3456430435181","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPO"
"IL1A","Interleukin 1 Alpha","Protein Coding","P01583","58","GC02M112773","15.0394973754883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"LOC106694316","Enhancer Region In Introns 7-9 Of MPO","Functional Element","","8","GC17P155236","14.9530210494995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106694316"
"SNCB","Synuclein Beta","Protein Coding","Q16143","57","GC05M176620","14.7985391616821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCB"
"AD5","Alzheimer Disease 5","Genetic Locus","","7","GC12U990107","14.7890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD5"
"NCSTN","Nicastrin","Protein Coding","Q92542","62","GC01P160343","14.7292203903198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCSTN"
"BACE2","Beta-Secretase 2","Protein Coding","Q9Y5Z0","54","GC21P041168","14.5827293395996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE2"
"C10orf55","Chromosome 10 Putative Open Reading Frame 55","RNA Gene","Q5SWW7","35","GC10M074405","14.4726486206055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C10orf55"
"LOC126860960","BRD4-Independent Group 4 Enhancer GRCh37_chr10:75672789-75673988","Functional Element","","7","GC10P076062","14.4726486206055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126860960"
"HSD17B10","Hydroxysteroid 17-Beta Dehydrogenase 10","Protein Coding","Q99714","60","GC0XM053431","14.4479751586914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","14.2173385620117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"INS","Insulin","Protein Coding","P01308","61","GC11M002159","14.0767736434937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","13.9074144363403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"MME","Membrane Metalloendopeptidase","Protein Coding","P08473","62","GC03P155024","13.7814121246338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME"
"PIN1","Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1","Protein Coding","Q13526","60","GC19P009835","13.7273817062378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIN1"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","13.6288290023804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"PSENEN","Presenilin Enhancer, Gamma-Secretase Subunit","Protein Coding","Q9NZ42","57","GC19P152399","13.5932912826538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSENEN"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","P36544","56","GC15P031923","13.4623613357544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA7"
"AGER","Advanced Glycosylation End-Product Specific Receptor","Protein Coding","Q15109","59","GC06M032180","13.2788772583008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER"
"AD6","Alzheimer Disease 6","Genetic Locus","","7","GC10U990101","13.1552038192749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AD6"
"UBB","Ubiquitin B","Protein Coding","P0CG47","56","GC17P016380","13.1077222824097","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBB"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","62","GC01M186671","12.9637775421143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"PICALM","Phosphatidylinositol Binding Clathrin Assembly Protein","Protein Coding","Q13492","57","GC11M085957","12.8916301727295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PICALM"
"CST3","Cystatin C","Protein Coding","P01034","56","GC20M024204","12.8684148788452","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"GRIN2B","Glutamate Ionotropic Receptor NMDA Type Subunit 2B","Protein Coding","Q13224","65","GC12M013437","12.8067741394043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B"
"CALHM1","Calcium Homeostasis Modulator 1","Protein Coding","Q8IU99","47","GC10M103454","12.6885604858398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALHM1"
